!
!Date: 01/12/2023
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
ERG3	YLR056W	resistance to chemicals: increased 	classical genetics	classical genetics	null Allele: erg3-Δ	S288C	  fluconazole		Paluszynski JP, et al. (2008) PMID:18832321
PGS1	YCL004W	resistance to chemicals: increased 	classical genetics	classical genetics	null Allele: pgs1-Δ	Other	MIC >15 ug/ml  fluconazole		Sarinová M, et al. (2007) PMID:17702459
SWH1	YAR042W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: swh1-Δ	S288C	64 ug/ml fluconazole		Anderson JB, et al. (2003) PMID:12702675
RTC2	YBR147W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rtc2-Δ	S288C	64 ug/ml fluconazole		Anderson JB, et al. (2003) PMID:12702675
ERG28	YER044C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: erg28-Δ	S288C	64 ug/ml fluconazole		Anderson JB, et al. (2003) PMID:12702675
SCS2	YER120W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: scs2-Δ	S288C	64 ug/ml fluconazole		Anderson JB, et al. (2003) PMID:12702675
UPA1	YGR283C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ygr283c-Δ	S288C	64 ug/ml fluconazole		Anderson JB, et al. (2003) PMID:12702675
ERG3	YLR056W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: erg3-Δ	S288C	64 ug/ml fluconazole		Anderson JB, et al. (2003) PMID:12702675
YLR407W	YLR407W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ylr407w-Δ	S288C	64 ug/ml fluconazole		Anderson JB, et al. (2003) PMID:12702675
ERG6	YML008C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: erg6-Δ	S288C	64 ug/ml fluconazole		Anderson JB, et al. (2003) PMID:12702675
SML1	YML058W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: sml1-Δ	S288C	64 ug/ml fluconazole		Anderson JB, et al. (2003) PMID:12702675
YMR099C	YMR099C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ymr099c-Δ	S288C	64 ug/ml fluconazole		Anderson JB, et al. (2003) PMID:12702675
LAF1	YMR102C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: laf1-Δ	S288C	64 ug/ml fluconazole		Anderson JB, et al. (2003) PMID:12702675
CKA2	YOR061W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: cka2-Δ	S288C	64 ug/ml fluconazole		Anderson JB, et al. (2003) PMID:12702675
LCL1	YPL056C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: lcl1-Δ	S288C	64 ug/ml fluconazole		Anderson JB, et al. (2003) PMID:12702675
SAS3	YBL052C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: sas3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NUP170	YBL079W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: nup170-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TRM7	YBR061C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: trm7-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
IML3	YBR107C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: iml3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MUD1	YBR119W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mud1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
AIM4	YBR194W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: aim4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MSI1	YBR195C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: msi1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BEM1	YBR200W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: bem1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SGF29	YCL010C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: sgf29-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
STE50	YCL032W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ste50-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SLM3	YDL033C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: slm3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PHO84	YML123C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: pho84-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
FAR8	YMR029C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: far8-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CCS1	YMR038C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ccs1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SAM37	YMR060C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: sam37-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
LAF1	YMR102C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: laf1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
LDO16	YMR148W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ldo16-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
UBP8	YMR223W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ubp8-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HHT2	YNL031C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: hht2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TPM1	YNL079C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: tpm1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PHO23	YNL097C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: pho23-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
GCR2	YNL199C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: gcr2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
GIS2	YNL255C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: gis2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SIN3	YOL004W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: sin3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NOP12	YOL041C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: nop12-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RRP6	YOR001W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rrp6-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SLG1	YOR008C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: slg1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BUD21	YOR078W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: bud21-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ARP8	YOR141C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: arp8-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SLY41	YOR307C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: sly41-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SNU66	YOR308C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: snu66-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CIN1	YOR349W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: cin1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RMI1	YPL024W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rmi1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SUR1	YPL057C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: sur1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TGS1	YPL157W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: tgs1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BEM4	YPL161C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: bem4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NIP100	YPL174C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: nip100-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
DDC1	YPL194W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ddc1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SCD6	YPR129W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: scd6-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MSS18	YPR134W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mss18-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MMS1	YPR164W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mms1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
YBL086C	YBL086C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ybl086c-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SEC66	YBR171W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: sec66-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MRC1	YCL061C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mrc1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ELO2	YCR034W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: elo2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ASM4	YDL088C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: asm4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
LHP1	YDL051W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: lhp1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MBP1	YDL056W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mbp1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PTP1	YDL230W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ptp1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RPA14	YDR156W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rpa14-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HSP42	YDR171W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: hsp42-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HST4	YDR191W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: hst4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SIR4	YDR227W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: sir4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CHL4	YDR254W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: chl4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SUR2	YDR297W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: sur2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
IRC3	YDR332W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: irc3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SIZ1	YDR409W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: siz1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SDC1	YDR469W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: sdc1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SNF1	YDR477W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: snf1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PSP1	YDR505C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: psp1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
GIM4	YEL003W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: gim4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BIM1	YER016W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: bim1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PTP3	YER075C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ptp3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
IES5	YER092W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ies5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RAD24	YER173W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rad24-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
DEG1	YFL001W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: deg1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PIH1	YHR034C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: pih1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
IRE1	YHR079C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ire1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SKN7	YHR206W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: skn7-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HOS4	YIL112W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: hos4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TPM2	YIL138C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: tpm2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
REV7	YIL139C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rev7-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MAD3	YJL013C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mad3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CHS6	YJL099W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: chs6-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MOG1	YJR074W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mog1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MDM35	YKL053C-A	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mdm35-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
LHS1	YKL073W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: lhs1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
DOA1	YKL213C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: doa1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SRP40	YKR092C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: srp40-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RTT109	YLL002W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rtt109-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MMR1	YLR190W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mmr1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SEC22	YLR268W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: sec22-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NUP2	YLR335W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: nup2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ELO3	YLR372W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: elo3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
VID22	YLR373C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: vid22-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CTF3	YLR381W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ctf3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SKI2	YLR398C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ski2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CDC73	YLR418C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: cdc73-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MFT1	YML062C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mft1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
COG8	YML071C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: cog8-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TCB3	YML072C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: tcb3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NAM7	YMR080C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: nam7-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MUB1	YMR100W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mub1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
COG5	YNL051W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: cog5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
EOS1	YNL080C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: eos1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RTG1	YOL067C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rtg1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BUB3	YOR026W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: bub3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
LEO1	YOR123C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: leo1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RLF2	YPR018W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rlf2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MAK3	YPR051W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mak3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PEF1	YGR058W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: pef1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ENV11	YGR071C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: env11-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PCT1	YGR202C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: pct1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SER2	YGR208W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ser2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
OPI1	YHL020C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: opi1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
THR1	YHR025W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: thr1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SSF1	YHR066W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ssf1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
NMD2	YHR077C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: nmd2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
KSP1	YHR082C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ksp1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RTT107	YHR154W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rtt107-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RPN10	YHR200W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rpn10-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
APQ12	YIL040W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: apq12-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ENT5	YDR153C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ent5-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MCM21	YDR318W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mcm21-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ESC2	YDR363W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: esc2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
UBC8	YEL012W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ubc8-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RTR1	YER139C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rtr1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
DBP3	YGL078C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: dbp3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
GUP1	YGL084C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: gup1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
BUD13	YGL174W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: bud13-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
PRE9	YGR135W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: pre9-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
AZR1	YGR224W	resistance to chemicals: increased 	classical genetics	classical genetics	overexpression	W303	9 ug/ml fluconazole		Tenreiro S, et al. (2000) PMID:11113970
RGI1	YER067W	resistance to chemicals: increased 	classical genetics	classical genetics	null Allele: rgi1-Δ	S288C	16 ug/ml fluconazole		Domitrovic T, et al. (2010) PMID:20567505
SAP185	YJL098W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: sap185-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MCM22	YJR135C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mcm22-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MRT4	YKL009W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mrt4-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RAD27	YKL113C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rad27-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
TGL1	YKL140W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: tgl1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ELF1	YKL160W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: elf1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MSA2	YKR077W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: msa2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
LDB18	YLL049W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ldb18-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
SSK1	YLR006C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ssk1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CKI1	YLR133W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: cki1-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
ENT2	YLR206W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ent2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
MMS22	YLR320W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: mms22-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CTK3	YML112W	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: ctk3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
RTG3	YBL103C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: rtg3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
CSG2	YBR036C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: csg2-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
HSM3	YBR272C	resistance to chemicals: increased 	systematic mutation set	large-scale survey	null Allele: hsm3-Δ	S288C	100 uM fluconazole		Kapitzky L, et al. (2010) PMID:21179023
